,word
846,tantrum*
847,tears
848,teas*
849,temper
850,tempers
851,tense
852,tensely
853,tension*
854,terribly
855,terror*
856,thief
857,thiev*
858,threat*
859,timid*
860,tortur*
861,traged*
862,tragically
863,trauma*
864,trembl*
865,trick
866,tricks
867,troubl*
868,turmoil
869,ugh
870,unaccept*
871,uncertain*
872,uncomfortabl*
873,uncontrol*
874,undesir*
875,uneas*
876,unfortunate*
877,unfriendly
878,ungrateful*
879,unhapp*
880,unimpress*
881,unlov*
882,unprotected
883,unsettl*
884,unsuccessful*
885,unsure*
886,unwelcom*
887,uptight*
888,useless
889,uselessly
890,uselessness
891,vanity
892,viciously
893,viciousness
894,victim*
895,vile
896,villain*
897,violat*
898,violence
899,violently
900,vomit*
901,vulnerab*
902,war
903,warfare*
904,warn*
905,warring
906,wars
907,weakling
908,weakly
909,weapon*
910,weirdly
911,weirdness
912,weirdo
913,weirdos
914,whore*
915,wickedly
916,wimp*
917,witch*
918,woe*
919,worrier
920,worries
921,worsening
922,wrongdoing
923,wronged
924,wrongly
925,wrongness
926,wrongs
927,yearn*
928,yuck
